COUNTY_ID,COUNTY,TOWN_ID,TOWN,FLD01,FLD02,FLD03,FLD04,FLD05,FLD06,INFO_TIME
65000,新北市,65000010,板橋區,214316,0.34,155758,45594,12635,329,"108Y2S"
65000,新北市,65000020,三重區,152643,0.33,110755,33691,8013,184,"108Y2S"
65000,新北市,65000030,中和區,166853,0.35,118600,37860,9987,406,"108Y2S"
65000,新北市,65000040,永和區,91296,0.40,61815,22915,6188,378,"108Y2S"
65000,新北市,65000050,新莊區,157067,0.27,122130,27492,7268,177,"108Y2S"
65000,新北市,65000060,新店區,128590,0.37,89863,30281,7868,578,"108Y2S"
65000,新北市,65000070,樹林區,67034,0.28,51401,12341,3226,66,"108Y2S"
65000,新北市,65000080,鶯歌區,30745,0.30,23256,5864,1592,33,"108Y2S"
65000,新北市,65000090,三峽區,43732,0.28,33664,8083,1905,80,"108Y2S"
65000,新北市,65000100,淡水區,79154,0.29,60270,14962,3712,210,"108Y2S"
65000,新北市,65000110,汐止區,89019,0.28,68480,16679,3688,172,"108Y2S"
65000,新北市,65000120,瑞芳區,16131,0.40,10672,4424,1004,31,"108Y2S"
65000,新北市,65000130,土城區,87703,0.27,68358,15515,3749,81,"108Y2S"
65000,新北市,65000140,蘆洲區,72183,0.26,56828,12264,3023,68,"108Y2S"
65000,新北市,65000150,五股區,33232,0.26,25880,5985,1340,27,"108Y2S"
65000,新北市,65000160,泰山區,28739,0.28,22110,5204,1404,21,"108Y2S"
65000,新北市,65000170,林口區,45552,0.24,36721,6899,1835,97,"108Y2S"
65000,新北市,65000180,深坑區,9681,0.31,7184,2002,469,26,"108Y2S"
65000,新北市,65000190,石碇區,3407,0.45,2091,1104,206,6,"108Y2S"
65000,新北市,65000200,坪林區,2537,0.62,1342,892,277,26,"108Y2S"
65000,新北市,65000210,三芝區,9518,0.38,6458,2492,546,22,"108Y2S"
65000,新北市,65000220,石門區,4307,0.43,2797,1179,310,21,"108Y2S"
65000,新北市,65000230,八里區,15104,0.29,11520,2866,688,30,"108Y2S"
65000,新北市,65000240,平溪區,2282,0.56,1188,925,165,4,"108Y2S"
65000,新北市,65000250,雙溪區,3789,0.57,1992,1463,318,16,"108Y2S"
65000,新北市,65000260,貢寮區,4344,0.57,2359,1527,419,39,"108Y2S"
65000,新北市,65000270,金山區,7137,0.44,4580,1998,529,30,"108Y2S"
65000,新北市,65000280,萬里區,7510,0.49,4691,2217,571,31,"108Y2S"
65000,新北市,65000290,烏來區,1905,0.41,1287,465,141,12,"108Y2S"
63000,臺北市,63000010,松山區,81275,0.44,53414,20427,6790,644,"108Y2S"
63000,臺北市,63000020,信義區,89398,0.43,58575,23422,6939,462,"108Y2S"
63000,臺北市,63000030,大安區,121562,0.48,77593,31916,10781,1272,"108Y2S"
63000,臺北市,63000040,中山區,100509,0.38,69258,24685,6093,473,"108Y2S"
63000,臺北市,63000050,中正區,65513,0.40,44440,16214,4442,417,"108Y2S"
63000,臺北市,63000060,大同區,51842,0.40,34812,13584,3206,240,"108Y2S"
63000,臺北市,63000070,萬華區,79135,0.42,51490,22184,5150,311,"108Y2S"
63000,臺北市,63000080,文山區,107145,0.37,75612,24224,6864,445,"108Y2S"
63000,臺北市,63000090,南港區,47442,0.36,33488,10924,2898,132,"108Y2S"
63000,臺北市,63000100,內湖區,109221,0.30,82283,21006,5595,337,"108Y2S"
63000,臺北市,63000110,士林區,107948,0.44,70962,27768,8658,560,"108Y2S"
63000,臺北市,63000120,北投區,97733,0.40,67101,23314,6908,410,"108Y2S"
68000,桃園市,68000010,桃園區,171856,0.27,134232,29212,8150,262,"108Y2S"
68000,桃園市,68000020,中壢區,155473,0.29,119112,28061,8060,240,"108Y2S"
68000,桃園市,68000100,平鎮區,79294,0.29,60644,14384,4189,77,"108Y2S"
68000,桃園市,68000080,八德區,73546,0.29,56588,13229,3655,74,"108Y2S"
68000,桃園市,68000040,楊梅區,60452,0.29,46330,10753,3301,68,"108Y2S"
68000,桃園市,68000030,大溪區,33223,0.36,23510,7464,2179,70,"108Y2S"
68000,桃園市,68000050,蘆竹區,60064,0.24,48324,9076,2572,92,"108Y2S"
